Sample-id	Type	Area	Plant	Vector	PWN	PWN number	Vector number	Latitude	Longitude	Annual average temperature	Annual average rainfall	Collection	Year	Month	Day	Gender_TR
LNPk13	PC	LN	Pk	MS		19.35824375	46.81157034	41.9527	124.24085	6.1	795.3	20190417	2019	4	17	
LNPk14	PC	LN	Pk	MS		19.35824375	46.81157034	41.9527	124.24085	6.1	795.3	20190417	2019	4	17	
LNPk15	PC	LN	Pk	MS		19.35824375	46.81157034	41.9527	124.24085	6.1	795.3	20190417	2019	4	17	
LNPk16	PC	LN	Pk	MS		19.35824375	46.81157034	41.9527	124.24085	6.1	795.3	20190417	2019	4	17	
LNPR	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	124.24085	6.1	795.3	20180402	2018	4	2	
LNPt1	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	124.24085	6.1	795.3	20180402	2018	4	2	
LNPt2	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	124.24085	6.1	795.3	20180402	2018	4	2	
LNPt3	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	124.24085	6.1	795.3	20180402	2018	4	2	
LNPt4	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	124.24085	6.1	795.3	20180402	2018	4	2	
LNPt5	PC	LN	PT	MS		101.1528776	13.51428126	41.9527	124.24085	6.1	795.3	20180402	2018	4	2	
LNPt7	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	124.24085	6.1	795.3	20190327	2019	3	27	
LNPt8	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	124.24085	6.1	795.3	20190327	2019	3	27	
LNPt9	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	124.24085	6.1	795.3	20190327	2019	3	27	
LNPt10	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	124.24085	6.1	795.3	20190327	2019	3	27	
LNPt11	PC	LN	PT	MS		65.32275039	40.10120191	41.9527	124.24085	6.1	795.3	20190408	2019	4	8	
SXPa1	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	109.2797	13.4	731.9	20180421	2018	4	21	
SXPa2	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	109.2797	13.4	731.9	20180421	2018	4	21	
SXPa3	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	109.2797	13.4	731.9	20180421	2018	4	21	
SXPa4	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	109.2797	13.4	731.9	20180421	2018	4	21	
SXPa5	PC	SX	PA	MA		9.352282425	14.17658341	33.57773286	109.2797	13.4	731.9	20180421	2018	4	21	
SXPa6	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	109.2797	13.4	731.9	20190514	2019	5	14	
SXPa7	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	109.2797	13.4	731.9	20190514	2019	5	14	
SXPa8	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	109.2797	13.4	731.9	20190514	2019	5	14	
SXPa9	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	109.2797	13.4	731.9	20190514	2019	5	14	
SXPa10	PC	SX	PA	MA		14.06336229	48.18237532	33.57773286	109.2797	13.4	731.9	20190514	2019	5	14	
